timestamp,solar_irradiance,wind_speed,temperature,cloud_cover,solar_kw,wind_kw
2025-01-01 00:00:00,0.0,2.16,9.28,55.78,0.0,0.0
2025-01-01 01:00:00,0.0,2.17,8.68,60.96,0.0,0.0
2025-01-01 02:00:00,0.0,2.14,8.22,90.44,0.0,0.0
2025-01-01 03:00:00,0.0,2.02,8.01,98.48,0.0,0.0
2025-01-01 04:00:00,0.0,1.8,8.01,99.49,0.0,0.0
2025-01-01 05:00:00,0.0,1.61,8.01,99.54,0.0,0.0
2025-01-01 06:00:00,0.0,1.51,7.92,98.02,0.0,0.0
2025-01-01 07:00:00,42.95,1.3,8.91,99.55,3.436,0.0
2025-01-01 08:00:00,130.82,1.27,11.64,95.92,10.4656,0.0
2025-01-01 09:00:00,212.95,1.15,14.43,94.05,17.036,0.0
2025-01-01 10:00:00,281.73,1.0,18.34,92.11,22.538400000000003,0.0
2025-01-01 11:00:00,401.95,0.75,20.08,73.45,32.156,0.0
2025-01-01 12:00:00,493.65,0.46,21.3,54.0,39.492,0.0
2025-01-01 13:00:00,427.45,0.57,22.17,49.75,34.196,0.0
2025-01-01 14:00:00,350.2,0.7,22.46,43.82,28.016000000000005,0.0
2025-01-01 15:00:00,226.27,0.76,21.79,37.83,18.1016,0.0
2025-01-01 16:00:00,85.68,0.77,19.94,27.78,6.854400000000002,0.0
2025-01-01 17:00:00,0.0,1.1,17.92,13.58,0.0,0.0
2025-01-01 18:00:00,0.0,1.55,16.45,4.52,0.0,0.0
2025-01-01 19:00:00,0.0,1.81,15.36,1.52,0.0,0.0
2025-01-01 20:00:00,0.0,2.03,14.14,1.01,0.0,0.0
2025-01-01 21:00:00,0.0,2.1,13.2,15.05,0.0,0.0
2025-01-01 22:00:00,0.0,1.99,12.62,83.42,0.0,0.0
2025-01-01 23:00:00,0.0,1.84,12.15,77.89,0.0,0.0
2025-01-02 00:00:00,0.0,1.67,11.73,58.4,0.0,0.0
2025-01-02 01:00:00,0.0,1.45,11.41,60.15,0.0,0.0
2025-01-02 02:00:00,0.0,1.28,11.59,87.63,0.0,0.0
2025-01-02 03:00:00,0.0,1.12,11.49,94.87,0.0,0.0
2025-01-02 04:00:00,0.0,0.98,11.36,91.6,0.0,0.0
2025-01-02 05:00:00,0.0,0.89,11.21,82.81,0.0,0.0
2025-01-02 06:00:00,0.0,0.9,10.99,67.93,0.0,0.0
2025-01-02 07:00:00,77.45,1.0,11.36,57.9,6.196000000000001,0.0
2025-01-02 08:00:00,239.12,1.18,13.07,50.06,19.1296,0.0
2025-01-02 09:00:00,395.35,1.03,14.67,40.38,31.628000000000004,0.0
2025-01-02 10:00:00,518.17,1.32,17.67,31.41,41.453599999999994,0.0
2025-01-02 11:00:00,657.0,1.57,20.04,11.95,52.56,0.0
2025-01-02 12:00:00,670.28,1.6,21.25,14.43,53.6224,0.0
2025-01-02 13:00:00,596.4,1.49,21.78,11.12,47.711999999999996,0.0
2025-01-02 14:00:00,454.42,1.29,21.99,29.58,36.3536,0.0
2025-01-02 15:00:00,278.38,0.94,21.6,48.26,22.270400000000002,0.0
2025-01-02 16:00:00,98.05,0.58,20.13,68.06,7.844,0.0
2025-01-02 17:00:00,0.0,0.81,18.67,91.89,0.0,0.0
2025-01-02 18:00:00,0.0,1.65,16.96,85.5,0.0,0.0
2025-01-02 19:00:00,0.0,2.24,15.49,90.92,0.0,0.0
2025-01-02 20:00:00,0.0,2.57,14.31,83.54,0.0,0.0
2025-01-02 21:00:00,0.0,2.68,13.49,58.62,0.0,0.0
2025-01-02 22:00:00,0.0,2.67,12.93,28.56,0.0,0.0
2025-01-02 23:00:00,0.0,2.6,12.43,8.31,0.0,0.0
2025-01-03 00:00:00,0.0,2.56,11.8,13.0,0.0,0.0
